Type,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Latest,Stock,Max,Diff%
Profit,1187.0,1526.0,1226.0,1847.0,2352.0,2477.0,TORNTPHARM,2477.0,0.0
Sales,4728.0,4531.0,6998.0,6332.0,6809.0,7058.0,TRIDENT,7058.0,0.0
Profit,421.0,398.0,1116.0,579.0,477.0,457.0,TRIDENT,1116.0,59.05
Sales,2073.0,2194.0,2722.0,2777.0,2678.0,2678.0,TTKPRESTIG,2777.0,3.56
Profit,234.0,317.0,411.0,343.0,301.0,292.0,TTKPRESTIG,411.0,28.95
Sales,5175.0,4498.0,5526.0,5912.0,8976.0,8869.0,TV18BRDCST,8976.0,1.19
Profit,502.0,703.0,1016.0,127.0,-159.0,-365.0,TV18BRDCST,1016.0,135.93
Sales,35756.0,38694.0,46240.0,53576.0,43098.0,43202.0,UPL,53576.0,19.36
Profit,2764.0,4181.0,4966.0,5150.0,-2087.0,-2480.0,UPL,5150.0,148.16
Sales,854.0,1169.0,1319.0,1267.0,1737.0,1798.0,UTIAMC,1798.0,0.0
Profit,341.0,603.0,660.0,586.0,987.0,1040.0,UTIAMC,1040.0,0.0
Sales,1986.0,2540.0,2752.0,2691.0,3041.0,3139.0,VAIBHAVGBL,3139.0,0.0
Profit,236.0,344.0,271.0,141.0,182.0,179.0,VAIBHAVGBL,344.0,47.97
Sales,675.0,755.0,1153.0,1052.0,723.0,689.0,VALIANTORG,1153.0,40.24
Profit,168.0,185.0,176.0,137.0,-9.0,-26.0,VALIANTORG,185.0,114.05
Sales,2503.0,2721.0,3500.0,4127.0,4857.0,5119.0,VGUARD,5119.0,0.0
Profit,250.0,288.0,294.0,256.0,340.0,387.0,VGUARD,387.0,0.0
Sales,7658.0,7556.0,7934.0,9499.0,12481.0,14042.0,VOLTAS,14042.0,0.0
Profit,744.0,709.0,697.0,307.0,486.0,734.0,VOLTAS,744.0,1.34
Sales,1548.0,986.0,1576.0,2278.0,2392.0,2394.0,WESTLIFE,2394.0,0.0
Profit,-9.0,-129.0,-2.0,149.0,96.0,60.0,WESTLIFE,149.0,59.73
Sales,5993.0,5900.0,6197.0,6668.0,6830.0,7288.0,WHIRLPOOL,7288.0,0.0
Profit,667.0,470.0,650.0,297.0,307.0,405.0,WHIRLPOOL,667.0,39.28
Sales,2493.0,2245.0,3378.0,4921.0,4448.0,4269.0,WSTCSTPAPR,4921.0,13.25
Profit,397.0,-26.0,420.0,1478.0,1053.0,838.0,WSTCSTPAPR,1478.0,43.3
Sales,19258.0,12611.0,12528.0,14800.0,19527.0,20564.0,YESBANK,20564.0,0.0
Profit,-20838.0,-4762.0,1434.0,981.0,1538.0,1766.0,YESBANK,2349.0,24.82
Sales,8130.0,7730.0,8186.0,8088.0,8637.0,8784.0,ZEEL,8784.0,0.0
Profit,956.0,1256.0,1400.0,264.0,323.0,552.0,ZEEL,2434.0,77.32
Sales,91.0,91.0,136.0,187.0,242.0,263.0,TIPSINDLTD,263.0,0.0
Profit,14.0,59.0,89.0,106.0,171.0,192.0,TIPSINDLTD,192.0,0.0
Sales,426.0,385.0,372.0,476.0,540.0,472.0,TASTYBITE,540.0,12.59
Profit,53.0,53.0,14.0,41.0,56.0,22.0,TASTYBITE,56.0,60.71
Sales,276.0,366.0,357.0,437.0,626.0,688.0,SURYODAY,688.0,0.0
Profit,154.0,12.0,238.0,373.0,288.0,317.0,SURYODAY,373.0,15.01
Sales,4987.0,5050.0,10602.0,12096.0,14021.0,14544.0,STARHEALTH,14544.0,0.0
Profit,413.0,-1446.0,-1397.0,826.0,1129.0,1171.0,STARHEALTH,1171.0,0.0
Sales,1354.0,1305.0,2153.0,2204.0,2376.0,2472.0,SPORTKING,2472.0,0.0
Profit,18.0,118.0,547.0,190.0,96.0,115.0,SPORTKING,547.0,78.98
Sales,43798.0,81913.0,82983.0,80636.0,131988.0,138746.0,SBILIFE,138746.0,0.0
Profit,1790.0,1640.0,1687.0,1906.0,2078.0,2242.0,SBILIFE,2242.0,0.0
Sales,1301.0,1043.0,1027.0,1648.0,2595.0,2791.0,SBICARD,2791.0,0.0
Profit,1730.0,1324.0,2172.0,3031.0,3232.0,3234.0,SBICARD,3234.0,0.0
Sales,2152.0,2239.0,2611.0,2425.0,2193.0,2225.0,PFIZER,2611.0,14.78
Profit,642.0,669.0,773.0,824.0,746.0,823.0,PFIZER,824.0,0.12
Sales,2946.0,2833.0,3886.0,4714.0,4582.0,4624.0,PAGEIND,4714.0,1.91
Profit,462.0,453.0,709.0,758.0,756.0,769.0,PAGEIND,769.0,0.0
Sales,2197.0,1647.0,2159.0,2384.0,1919.0,2347.0,JCHAC,2384.0,1.55
Profit,118.0,43.0,23.0,-105.0,-99.0,4.0,JCHAC,132.0,96.97
Sales,3290.0,3043.0,2948.0,3448.0,4058.0,4086.0,HONAUT,4086.0,0.0
Profit,687.0,618.0,458.0,591.0,675.0,720.0,HONAUT,720.0,0.0
Sales,1644.0,1652.0,2192.0,2999.0,3284.0,3357.0,GULFOILLUB,3357.0,0.0
Profit,265.0,269.0,284.0,313.0,413.0,440.0,GULFOILLUB,440.0,0.0
Sales,860.0,1020.0,1624.0,1783.0,1567.0,1546.0,GREENPANEL,1783.0,13.29
Profit,13.0,108.0,342.0,317.0,183.0,155.0,GREENPANEL,342.0,54.68
Sales,2633.0,3463.0,4401.0,3617.0,4167.0,4295.0,GLAND,4401.0,2.41
Profit,993.0,1335.0,1619.0,1048.0,1405.0,1452.0,GLAND,1619.0,10.32
Sales,1150.0,1396.0,1421.0,1617.0,2407.0,2595.0,EQUITASBNK,2595.0,0.0
Profit,377.0,511.0,378.0,769.0,1063.0,847.0,EQUITASBNK,1063.0,20.32
Sales,141.0,138.0,233.0,430.0,482.0,485.0,EASEMYTRIP,485.0,0.0
Profit,48.0,85.0,145.0,197.0,160.0,171.0,EASEMYTRIP,197.0,13.2
Sales,2272.0,2172.0,2155.0,2483.0,3434.0,3660.0,DCBBANK,3660.0,0.0
Profit,492.0,453.0,390.0,628.0,722.0,728.0,DCBBANK,728.0,0.0
Sales,2493.0,2305.0,2188.0,2552.0,3147.0,3247.0,CUB,3247.0,0.0
Profit,586.0,693.0,985.0,1177.0,1231.0,1303.0,CUB,1303.0,0.0
Sales,993.0,1242.0,1542.0,1683.0,1441.0,1431.0,ALKYLAMINE,1683.0,14.97
Profit,260.0,401.0,302.0,309.0,202.0,202.0,ALKYLAMINE,401.0,49.63
Sales,827.0,818.0,926.0,1070.0,804.0,736.0,APEX,1070.0,31.21
Profit,81.0,61.0,56.0,51.0,20.0,20.0,APEX,94.0,78.72
Sales,832.0,814.0,806.0,1003.0,1296.0,1388.0,ASTRAZEN,1388.0,0.0
Profit,114.0,127.0,83.0,134.0,220.0,133.0,ASTRAZEN,220.0,39.55
Sales,2377.0,2585.0,2688.0,3780.0,5398.0,6034.0,AUBANK,6034.0,0.0
Profit,914.0,1458.0,1454.0,1865.0,1999.0,2155.0,AUBANK,2155.0,0.0
Sales,4562.0,4961.0,5157.0,6645.0,8544.0,9043.0,BANDHANBNK,9043.0,0.0
Profit,4053.0,2949.0,129.0,2893.0,2943.0,3401.0,BANDHANBNK,4053.0,16.09
Sales,3609.0,4261.0,4734.0,5140.0,5103.0,4995.0,BAYERCROP,5140.0,2.82
Profit,583.0,794.0,847.0,990.0,941.0,851.0,BAYERCROP,990.0,14.04
Sales,171.0,192.0,233.0,267.0,395.0,430.0,BIRLAMONEY,430.0,0.0
Profit,16.0,22.0,36.0,47.0,69.0,78.0,BIRLAMONEY,78.0,0.0
Sales,633.0,711.0,1194.0,1484.0,1448.0,1434.0,CAMPUS,1484.0,3.37
Profit,75.0,70.0,172.0,157.0,120.0,112.0,CAMPUS,172.0,34.88
Sales,4525.0,4841.0,5100.0,5226.0,5680.0,5853.0,COLPAL,5853.0,0.0
Profit,1043.0,1350.0,1409.0,1410.0,1781.0,1902.0,COLPAL,1902.0,0.0
Sales,108.0,194.0,298.0,338.0,395.0,360.0,5PAISA,395.0,8.86
Profit,-10.0,23.0,20.0,58.0,69.0,91.0,5PAISA,91.0,0.0
Sales,3994.0,4317.0,6040.0,6565.0,6347.0,7305.0,AARTIIND,7305.0,0.0
Profit,646.0,632.0,1366.0,613.0,396.0,316.0,AARTIIND,1366.0,76.87
Sales,356.0,458.0,478.0,591.0,828.0,1007.0,AAVAS,1007.0,0.0
Profit,302.0,353.0,455.0,549.0,624.0,733.0,AAVAS,733.0,0.0
Sales,4643.0,4377.0,4206.0,5237.0,6807.0,8005.0,ADANIPORTS,8005.0,0.0
Profit,2032.0,2910.0,472.0,-1028.0,2532.0,3560.0,ADANIPORTS,3560.0,0.0
Sales,302.0,450.0,590.0,651.0,596.0,789.0,AETHER,789.0,0.0
Profit,57.0,94.0,146.0,174.0,114.0,205.0,AETHER,205.0,0.0
Sales,3140.0,3735.0,7151.0,6796.0,5356.0,3557.0,ALOKINDS,7151.0,50.26
Profit,1222.0,-4432.0,-184.0,-875.0,-814.0,-769.0,ALOKINDS,1222.0,162.93
Sales,6310.0,7185.0,8180.0,8684.0,9136.0,9071.0,DABUR,9136.0,0.71
Profit,1408.0,1683.0,1896.0,1829.0,1967.0,1808.0,DABUR,1967.0,8.08
Sales,32666.0,35673.0,40638.0,46276.0,48118.0,51105.0,HCLTECH,51105.0,0.0
Profit,11178.0,12410.0,13268.0,14716.0,15456.0,16474.0,HCLTECH,16474.0,0.0
Sales,13430.0,11501.0,10221.0,12699.0,19806.0,24578.0,KOTAKBANK,24578.0,0.0
Profit,7805.0,9303.0,11361.0,14391.0,18014.0,21584.0,KOTAKBANK,21584.0,0.0
Sales,11517.0,12161.0,16026.0,17876.0,20487.0,23961.0,ICICIGI,23961.0,0.0
Profit,1697.0,1954.0,1684.0,2113.0,2555.0,3321.0,ICICIGI,3321.0,0.0
Sales,268766.0,232997.0,349683.0,440403.0,433525.0,433728.0,HINDPETRO,440403.0,1.52
Profit,1573.0,14247.0,8204.0,-11915.0,19153.0,9621.0,HINDPETRO,19153.0,49.77
Sales,485660.0,378058.0,598149.0,839472.0,774349.0,755950.0,IOC,839472.0,9.95
Profit,-3694.0,29716.0,31733.0,9698.0,52344.0,15882.0,IOC,52344.0,69.66
Sales,11850.0,13349.0,14405.0,16962.0,19484.0,23115.0,DRREDDY,23115.0,0.0
Profit,2776.0,3056.0,2224.0,3866.0,5791.0,7236.0,DRREDDY,7236.0,0.0
Sales,6743.0,13954.0,27717.0,28382.0,28601.0,30123.0,INDUSTOWER,30123.0,0.0
Profit,3788.0,4757.0,8431.0,2759.0,8122.0,13154.0,INDUSTOWER,13154.0,0.0
Sales,39783.0,47028.0,52446.0,60580.0,61896.0,63121.0,HINDUNILVR,63121.0,0.0
Profit,9165.0,10605.0,11879.0,13344.0,13926.0,14415.0,HINDUNILVR,14415.0,0.0
Sales,36997.0,50805.0,46823.0,51817.0,68534.0,80704.0,PNB,80704.0,0.0
Profit,827.0,4325.0,4826.0,5151.0,14160.0,26053.0,PNB,26053.0,0.0
Sales,21025.0,83182.0,63564.0,50478.0,90307.0,70778.0,ICICIPRULI,90307.0,21.63
Profit,1198.0,1219.0,961.0,1085.0,1028.0,1582.0,ICICIPRULI,1582.0,0.0
Sales,748.0,1289.0,2292.0,3002.0,4272.0,5238.0,ANGELONE,5238.0,0.0
Profit,114.0,410.0,836.0,1192.0,1514.0,1592.0,ANGELONE,1592.0,0.0
Sales,2124.0,2194.0,2429.0,2478.0,3159.0,3498.0,HDFCAMC,3498.0,0.0
Profit,1653.0,1749.0,1855.0,1871.0,2478.0,3286.0,HDFCAMC,3286.0,0.0
Sales,62137.0,59248.0,58584.0,77780.0,154139.0,183894.0,HDFCBANK,183894.0,0.0
Profit,38195.0,42796.0,50873.0,61498.0,76569.0,96242.0,HDFCBANK,96242.0,0.0
Sales,8830.0,8792.0,12204.0,14108.0,18039.0,22408.0,POLYCAB,22408.0,0.0
Profit,1010.0,1056.0,1188.0,1707.0,2359.0,2701.0,POLYCAB,2701.0,0.0
Sales,41531.0,40129.0,38908.0,47103.0,68585.0,82099.0,ICICIBANK,82099.0,0.0
Profit,14048.0,20183.0,30609.0,42421.0,54488.0,62616.0,ICICIBANK,62616.0,0.0
Sales,48532.0,41686.0,37259.0,48233.0,67884.0,75783.0,BANKBARODA,75783.0,0.0
Profit,-1802.0,5556.0,9386.0,19727.0,24890.0,26454.0,BANKBARODA,26454.0,0.0
Sales,25794.0,44079.0,40157.0,47978.0,63208.0,70512.0,UNIONBANK,70512.0,0.0
Profit,-4028.0,2399.0,8579.0,12138.0,21430.0,23479.0,UNIONBANK,23479.0,0.0
Sales,35817.0,45182.0,43035.0,52990.0,72118.0,82681.0,CANBK,82681.0,0.0
Profit,-1514.0,3882.0,9145.0,14427.0,20000.0,23025.0,CANBK,23025.0,0.0
Sales,75660.0,70372.0,88330.0,118410.0,141858.0,152913.0,MARUTI,152913.0,0.0
Profit,7103.0,5321.0,4697.0,10438.0,17424.0,19620.0,MARUTI,19620.0,0.0
Sales,90791.0,100472.0,121641.0,146767.0,153670.0,162990.0,INFY,162990.0,0.0
Profit,22007.0,26628.0,30110.0,33322.0,35988.0,37608.0,INFY,37608.0,0.0
Sales,84447.0,88021.0,132732.0,147308.0,143727.0,152968.0,VEDL,152968.0,0.0
Profit,-8259.0,17213.0,32964.0,20276.0,20363.0,26877.0,VEDL,32964.0,18.47
Sales,284572.0,230171.0,346791.0,473187.0,448083.0,440272.0,BPCL,473187.0,6.96
Profit,3652.0,22432.0,16037.0,2821.0,36194.0,18182.0,BPCL,36194.0,49.77
Sales,5280.0,5074.0,6369.0,7543.0,7801.0,7823.0,KANSAINER,7823.0,0.0
Profit,667.0,712.0,476.0,635.0,1561.0,1478.0,KANSAINER,1561.0,5.32
Sales,61138.0,61935.0,79312.0,90488.0,89760.0,89088.0,WIPRO,90488.0,1.55
Profit,12252.0,13903.0,15141.0,14766.0,14721.0,17496.0,WIPRO,17496.0,0.0
Sales,2996.0,3004.0,3318.0,3985.0,4541.0,4931.0,SIS,4931.0,0.0
Profit,107.0,86.0,116.0,135.0,190.0,156.0,SIS,190.0,17.89
Sales,716.0,488.0,641.0,884.0,796.0,1182.0,SYMPHONY,1182.0,0.0
Profit,240.0,147.0,146.0,216.0,195.0,242.0,SYMPHONY,242.0,0.0
Sales,42430.0,44726.0,52599.0,63240.0,70908.0,75955.0,ULTRACEMCO,75955.0,0.0
Profit,5183.0,8001.0,8524.0,7416.0,9422.0,7528.0,ULTRACEMCO,9422.0,20.1
Sales,1330.0,1581.0,2087.0,2017.0,2227.0,2461.0,LALPATHLAB,2461.0,0.0
Profit,310.0,394.0,475.0,344.0,505.0,625.0,LALPATHLAB,625.0,0.0
Sales,29380.0,71528.0,67126.0,70207.0,101482.0,96922.0,HDFCLIFE,101482.0,4.49
Profit,1463.0,1629.0,1487.0,1441.0,977.0,1290.0,HDFCLIFE,1629.0,20.81
Sales,21052.0,21644.0,28799.0,40575.0,51084.0,60456.0,TITAN,60456.0,0.0
Profit,2102.0,1327.0,2904.0,4447.0,4623.0,4535.0,TITAN,4623.0,1.9
Sales,2395.0,2374.0,2859.0,3133.0,4106.0,4851.0,RADICO,4851.0,0.0
Profit,273.0,347.0,332.0,291.0,348.0,465.0,RADICO,465.0,0.0
Sales,2358.0,3626.0,4298.0,4178.0,7069.0,8339.0,MOTILALOFS,8339.0,0.0
Profit,285.0,1458.0,1616.0,1242.0,3032.0,3226.0,MOTILALOFS,3226.0,0.0
Sales,1038.0,1133.0,1876.0,3023.0,2123.0,2269.0,FINEORG,3023.0,24.94
Profit,216.0,162.0,352.0,841.0,544.0,555.0,FINEORG,841.0,34.01
Sales,13798.0,23439.0,22129.0,24717.0,32341.0,36826.0,INDIANB,36826.0,0.0
Profit,1377.0,3115.0,3253.0,5963.0,11017.0,14887.0,INDIANB,14887.0,0.0
Sales,845.0,640.0,1132.0,1951.0,1516.0,1594.0,COALINDIA,1951.0,18.3
Profit,11299.0,7674.0,11357.0,15094.0,16042.0,17098.0,COALINDIA,17098.0,0.0
Sales,9429.0,10428.0,13889.0,16868.0,18550.0,21746.0,HAVELLS,21746.0,0.0
Profit,902.0,1432.0,1604.0,1450.0,1710.0,2009.0,HAVELLS,2009.0,0.0
Sales,54351.0,60592.0,68406.0,82072.0,110382.0,133821.0,BAJAJFINSV,133821.0,0.0
Profit,8302.0,9862.0,11271.0,16811.0,21375.0,23748.0,BAJAJFINSV,23748.0,0.0
Sales,145452.0,135979.0,156521.0,183341.0,221113.0,255734.0,LT,255734.0,0.0
Profit,14086.0,16918.0,14495.0,17109.0,20517.0,23579.0,LT,23579.0,0.0
Sales,45488.0,44630.0,57787.0,86645.0,101219.0,118625.0,M&M,118625.0,0.0
Profit,3116.0,2303.0,6148.0,8131.0,13483.0,15650.0,M&M,15650.0,0.0
Sales,4861.0,4984.0,5221.0,5698.0,6373.0,6847.0,OFSS,6847.0,0.0
Profit,2252.0,2477.0,2528.0,2570.0,3022.0,3311.0,OFSS,3311.0,0.0
Sales,398.0,391.0,367.0,514.0,684.0,1113.0,MCX,1113.0,0.0
Profit,265.0,267.0,184.0,191.0,102.0,699.0,MCX,699.0,0.0
Sales,156949.0,164177.0,191754.0,225458.0,240893.0,255324.0,TCS,255324.0,0.0
Profit,42248.0,43760.0,51687.0,56907.0,61997.0,65331.0,TCS,65331.0,0.0
Sales,1720.0,2585.0,3435.0,3421.0,5048.0,6330.0,ISEC,6330.0,0.0
Profit,748.0,1431.0,1850.0,1495.0,2275.0,2602.0,ISEC,2602.0,0.0
Sales,27096.0,26330.0,24014.0,27373.0,37657.0,46432.0,BANKINDIA,46432.0,0.0
Profit,-4603.0,3237.0,5567.0,6229.0,10099.0,12434.0,BANKINDIA,12434.0,0.0
Sales,161124.0,156010.0,156194.0,189981.0,259736.0,300943.0,SBIN,300943.0,0.0
Profit,30317.0,32796.0,49739.0,75399.0,91240.0,106365.0,SBIN,106365.0,0.0
Sales,7315.0,8048.0,9512.0,9764.0,9653.0,10831.0,MARICO,10831.0,0.0
Profit,1374.0,1523.0,1601.0,1743.0,1937.0,2116.0,MARICO,2116.0,0.0
Sales,37996.0,34627.0,34923.0,43389.0,61391.0,71036.0,AXISBANK,71036.0,0.0
Profit,5280.0,9750.0,18929.0,18621.0,35178.0,36722.0,AXISBANK,36722.0,0.0
Sales,336097.0,245050.0,422413.0,537909.0,532511.0,517349.0,RELIANCE,537909.0,3.82
Profit,40316.0,27212.0,46786.0,55306.0,55273.0,46128.0,RELIANCE,55306.0,16.59
Sales,20211.0,21713.0,29101.0,34489.0,35495.0,33906.0,ASIANPAINT,35495.0,4.48
Profit,3629.0,4304.0,4188.0,5689.0,7348.0,5103.0,ASIANPAINT,7348.0,30.55
Sales,7294.0,7293.0,9921.0,11799.0,12383.0,13140.0,PIDILITIND,13140.0,0.0
Profit,1470.0,1522.0,1614.0,1723.0,2379.0,2823.0,PIDILITIND,2823.0,0.0
Sales,7990.0,7550.0,7678.0,9424.0,14003.0,18437.0,BAJFINANCE,18437.0,0.0
Profit,6808.0,5363.0,8586.0,13882.0,17053.0,21676.0,BAJFINANCE,21676.0,0.0
Sales,9911.0,11029.0,12276.0,13316.0,14096.0,14364.0,GODREJCP,14364.0,0.0
Profit,1760.0,2080.0,2155.0,2133.0,198.0,2672.0,GODREJCP,2672.0,0.0
Sales,1224.0,1224.0,1446.0,1810.0,1879.0,1926.0,CERA,1926.0,0.0
Profit,135.0,134.0,209.0,285.0,319.0,311.0,CERA,319.0,2.51
Sales,1070.0,1078.0,1039.0,1467.0,2268.0,2718.0,UJJIVANSFB,2718.0,0.0
Profit,350.0,10.0,-550.0,1467.0,1702.0,942.0,UJJIVANSFB,1702.0,44.65
Sales,1610.0,1826.0,2471.0,3145.0,3552.0,3729.0,TATAELXSI,3729.0,0.0
Profit,352.0,512.0,745.0,938.0,1049.0,1028.0,TATAELXSI,1049.0,2.0
Sales,1714.0,619.0,1290.0,2082.0,2245.0,2178.0,VIPIND,2245.0,2.98
Profit,148.0,-125.0,86.0,197.0,77.0,-91.0,VIPIND,197.0,146.19
Sales,1029.0,954.0,1616.0,2066.0,1900.0,2248.0,VINATIORGA,2248.0,0.0
Profit,425.0,335.0,449.0,563.0,432.0,536.0,VINATIORGA,563.0,4.8
Sales,261068.0,249795.0,278454.0,345967.0,437928.0,439695.0,TATAMOTORS,439695.0,0.0
Profit,-10580.0,-10474.0,-7003.0,3394.0,27955.0,38651.0,TATAMOTORS,38651.0,0.0
Sales,2121.0,2437.0,2866.0,2873.0,2982.0,3439.0,SFL,3439.0,0.0
Profit,256.0,324.0,296.0,273.0,256.0,108.0,SFL,324.0,66.67
Sales,1192.0,1419.0,1533.0,1512.0,2036.0,2231.0,NAM-INDIA,2231.0,0.0
Profit,560.0,877.0,989.0,928.0,1352.0,1694.0,NAM-INDIA,1694.0,0.0
Sales,14781.0,14450.0,14151.0,16135.0,18385.0,19528.0,LICHSGFIN,19528.0,0.0
Profit,3282.0,3365.0,2787.0,3561.0,6064.0,6879.0,LICHSGFIN,6879.0,0.0
Sales,3224.0,2926.0,3278.0,3252.0,3454.0,3749.0,GLAXO,3749.0,0.0
Profit,306.0,525.0,2093.0,839.0,816.0,1260.0,GLAXO,2093.0,39.8
Sales,72518.0,57372.0,92770.0,145668.0,133228.0,141903.0,GAIL,145668.0,2.58
Profit,10429.0,7725.0,15464.0,7256.0,12595.0,16096.0,GAIL,16096.0,0.0
Sales,9154.0,8720.0,10298.0,14442.0,16536.0,18870.0,EICHERMOT,18870.0,0.0
Profit,2355.0,1798.0,2203.0,3800.0,5202.0,5933.0,EICHERMOT,5933.0,0.0
Sales,863.0,1061.0,1269.0,1467.0,1694.0,1937.0,CAPLIPOINT,1937.0,0.0
Profit,269.0,314.0,386.0,451.0,564.0,677.0,CAPLIPOINT,677.0,0.0
Sales,87539.0,100616.0,116547.0,139145.0,149982.0,172985.0,BHARTIARTL,172985.0,0.0
Profit,-42846.0,-3432.0,12483.0,16561.0,12679.0,38398.0,BHARTIARTL,38398.0,0.0
Sales,6366.0,6818.0,8762.0,10568.0,11199.0,11545.0,BERGEPAINT,11545.0,0.0
Profit,883.0,979.0,1122.0,1162.0,1557.0,1568.0,BERGEPAINT,1568.0,0.0
Sales,2662.0,2421.0,3149.0,3802.0,3962.0,4091.0,AKZOINDIA,4091.0,0.0
Profit,323.0,278.0,367.0,456.0,573.0,570.0,AKZOINDIA,573.0,0.52
Sales,4093.0,4310.0,4913.0,5349.0,5849.0,6409.0,ABBOTINDIA,6409.0,0.0
Profit,803.0,926.0,1080.0,1274.0,1618.0,1887.0,ABBOTINDIA,1887.0,0.0
Sales,2410.0,2359.0,2653.0,2783.0,2914.0,2790.0,RELAXO,2914.0,4.26
Profit,292.0,391.0,311.0,210.0,269.0,230.0,RELAXO,391.0,41.18
